x	y	name
1	147	k
1	10	n
1	75	y
2	1065	ka
2	929	ko
2	100	ng
2	40	ku
2	1052	yi
3	63	yir
3	22	kor
3	1018	kan
3	212	kab
3	110	yiw
3	1055	nga
3	76	kun
4	5	kunr
4	1049	kabi
4	5	yire
4	3	kore
4	1056	ngar
4	141	kanb
4	35	yiwo
4	1091	ngam
5	2	kunre
5	46	ngama
5	32	kabir
5	1180	ngarr
5	899	yiwok
5	31	kanbu
6	1034	ngarri
6	964	kabirr
6	11	ngamar
6	900	kunred
6	150	yiwokd
6	4	kanbuk
7	1093	ngarrim
7	11	yiwokdi
7	16	ngamarn
7	1022	kabirri
7	4	kanbukk
8	206	kabirrib
8	46	ngarrima
8	9	kanbukka
8	2	ngamarnb
9	28	kabirribi
9	11	ngarrimar
9	8	ngamarnbu
10	1	ngamarnbun
10	16	ngarrimarn
10	900	kabirribim
11	187	kabirribimb
11	998	ngarrimarne
12	166	ngarrimarned
12	51	kabirribimbo
13	100	ngarrimarnedj
13	0	kabirribimbom
14	40	ngarrimarnedja
15	12	ngarrimarnedjar
